Australian Bureau of Statistics

"2021 Census - employment, income and education"
"2-digit level HEAP Level of Highest Educational Attainment and SEXP Sex by AGEP Age in Single Years"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

,"AGEP Age in Single Years","0 years","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years","101 years","102 years","103 years","104 years","105 years","106 years","107 years","108 years","109 years","110 years","111 years","112 years","113 years","114 years","115 years","Total",
"2-digit level HEAP Level of Highest Educational Attainment","SEXP Sex",
"Postgraduate Degree Level, nfd","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,21,62,93,113,116,130,145,180,165,168,166,164,140,153,194,212,216,193,181,162,164,191,194,173,159,174,176,187,188,158,141,150,127,145,121,114,113,127,109,113,126,119,111,96,104,101,105,79,100,76,69,54,50,37,41,30,25,25,26,23,16,21,11,8,3,9,4,7,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7509,
,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,91,131,208,253,248,312,358,310,344,366,367,401,378,404,375,373,388,363,337,308,353,328,334,321,336,293,329,313,291,261,228,205,191,214,190,205,184,150,185,165,158,108,147,150,113,105,88,102,86,66,70,55,41,36,40,30,15,13,13,13,13,4,0,3,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12941,
"Doctoral Degree Level","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,51,122,261,471,673,922,1182,1441,1778,1851,2024,2114,2371,2372,2420,2459,2511,2639,2660,2619,2562,2601,2460,2441,2349,2335,2349,2358,2328,2204,2238,2105,2121,2090,2200,2267,2218,2155,2146,2153,2087,2107,2009,1923,1958,1823,1891,1800,1854,1759,1746,1924,1568,1550,1442,1209,1147,994,938,827,695,574,515,380,314,319,217,198,185,134,111,67,55,35,21,11,13,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115074,
,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,21,78,162,367,598,839,1059,1283,1492,1773,1998,2089,2296,2443,2665,2651,2711,2791,2776,2698,2677,2529,2486,2396,2298,2243,2143,2123,2087,1969,1853,1706,1700,1750,1677,1735,1671,1576,1629,1583,1540,1398,1342,1301,1173,1110,1105,1015,965,853,810,796,777,588,537,464,423,393,315,260,197,187,133,125,114,67,67,58,50,36,35,20,12,21,10,12,7,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90949,
"Master Degree Level","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,19,58,384,2210,5763,10101,13204,14532,15298,15740,15739,16179,15443,15098,15837,16216,16736,17376,17913,17760,16994,15973,15033,13643,12533,11912,11532,10646,10414,10286,10003,9046,8747,8174,7758,7573,7386,7532,7287,7066,6693,6238,6017,5761,5687,5390,5063,4757,4608,4365,4081,3840,3543,3371,3356,2596,2232,1969,1619,1454,1209,1059,884,780,598,513,412,329,255,191,173,154,99,78,66,57,26,19,10,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540728,
,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,12,95,759,3173,7246,11386,14777,17566,19111,20662,21512,22198,22094,22011,22022,21525,21695,20784,20702,19555,18050,16652,15250,13858,12965,12291,11654,11304,10902,10580,10246,9275,8929,8229,7345,7176,7005,6820,6662,6403,6147,5651,5544,5303,4935,4639,4350,4020,3904,3540,3242,2961,2625,2395,2279,1690,1454,1270,1033,921,722,597,489,416,306,274,203,153,167,138,105,75,60,55,17,23,12,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592227,
"Graduate Diploma and Graduate Certificate Level, nfd","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,41,106,187,277,297,304,309,335,348,346,370,419,451,469,502,523,522,541,556,519,484,484,493,484,431,452,451,448,423,400,351,311,328,320,282,307,250,273,241,218,215,217,192,186,179,162,186,135,151,126,124,120,96,78,67,75,62,47,38,33,33,33,19,24,11,16,8,4,12,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17504,
,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,51,136,191,276,313,431,456,499,577,637,612,737,710,753,825,765,736,754,742,747,672,677,670,672,614,709,691,641,581,558,495,442,416,383,386,354,314,326,317,297,282,235,255,206,218,224,172,168,147,145,127,111,83,74,76,51,43,39,29,23,29,23,13,12,5,4,5,4,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24004,
"Graduate Diploma Level","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,16,35,80,119,190,320,565,812,1125,1325,1508,1640,1851,2148,2107,2151,2296,2200,2278,2251,2354,2268,2276,2261,2293,2279,2272,2228,2337,2420,2495,2624,2586,2484,2490,2374,2376,2226,2191,2344,2274,2357,2418,2428,2412,2596,2650,2634,2484,2433,2478,2212,2063,1969,1724,1547,1588,1183,1030,865,725,688,570,474,440,338,264,213,199,135,128,95,67,76,42,21,13,17,7,8,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118084,
