Australian Bureau of Statistics

"2021 Census - employment, income and education"
"2-digit level HEAP Level of Highest Educational Attainment by AGEP Age in Single Years"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGEP Age in Single Years","0 years","1 year","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years","18 years","19 years","20 years","21 years","22 years","23 years","24 years","25 years","26 years","27 years","28 years","29 years","30 years","31 years","32 years","33 years","34 years","35 years","36 years","37 years","38 years","39 years","40 years","41 years","42 years","43 years","44 years","45 years","46 years","47 years","48 years","49 years","50 years","51 years","52 years","53 years","54 years","55 years","56 years","57 years","58 years","59 years","60 years","61 years","62 years","63 years","64 years","65 years","66 years","67 years","68 years","69 years","70 years","71 years","72 years","73 years","74 years","75 years","76 years","77 years","78 years","79 years","80 years","81 years","82 years","83 years","84 years","85 years","86 years","87 years","88 years","89 years","90 years","91 years","92 years","93 years","94 years","95 years","96 years","97 years","98 years","99 years","100 years","101 years","102 years","103 years","104 years","105 years","106 years","107 years","108 years","109 years","110 years","111 years","112 years","113 years","114 years","115 years","Total",
"2-digit level HEAP Level of Highest Educational Attainment",
"Postgraduate Degree Level, nfd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48,113,191,299,362,366,442,507,484,508,535,531,565,520,556,567,579,605,554,520,466,512,528,530,498,497,474,499,503,484,421,368,350,317,358,314,323,299,272,295,277,283,230,255,250,213,208,191,181,183,145,147,103,90,73,76,63,40,44,38,30,31,26,10,15,14,8,7,7,7,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20455,
"Doctoral Degree Level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,11,34,125,280,621,1076,1513,1979,2463,2930,3556,3850,4117,4411,4814,5042,5074,5167,5297,5420,5366,5294,5093,5084,4853,4738,4589,4482,4471,4450,4300,4051,3942,3806,3868,3767,3928,3937,3797,3781,3728,3692,3488,3454,3313,3096,3065,2923,2905,2766,2713,2574,2543,2701,2157,2083,1905,1632,1539,1309,1198,1022,881,709,642,493,387,382,275,250,218,168,130,82,73,42,26,17,17,12,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,206022,
"Master Degree Level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,6,7,29,153,1142,5389,13012,21488,27981,32099,34409,36404,37251,38372,37535,37106,37858,37747,38434,38162,38613,37320,35040,32621,30283,27501,25494,24202,23187,21948,21311,20866,20249,18317,17679,16408,15106,14747,14394,14353,13949,13468,12840,11890,11562,11057,10623,10030,9410,8778,8514,7904,7324,6797,6171,5772,5636,4285,3687,3243,2650,2380,1930,1648,1372,1195,901,782,612,475,421,326,280,227,158,134,88,83,37,26,22,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132954,
"Graduate Diploma and Graduate Certificate Level, nfd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,17,87,242,384,553,609,736,765,837,925,984,989,1153,1165,1223,1329,1292,1256,1295,1301,1261,1151,1159,1168,1148,1044,1159,1144,1087,1004,954,847,752,744,704,663,662,567,602,555,512,495,455,451,392,398,385,358,304,298,276,249,228,181,150,143,129,104,84,70,59,59,56,32,32,21,23,15,7,14,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41509,
"Graduate Diploma Level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,16,66,236,530,906,1363,2038,2874,3794,4558,5071,5582,6019,6502,7160,7108,7240,7400,7460,7529,7470,7597,7544,7373,7061,7141,7104,7120,6978,7255,7344,7665,7856,8107,7724,7457,7045,6871,6512,6477,6562,6425,6738,6781,6667,6868,7032,7153,7084,6737,6435,6472,5816,5255,4841,4323,3791,3817,2901,2542,2230,1838,1692,1447,1201,1065,846,673,541,470,330,314,246,206,159,112,92,49,48,32,22,13,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357036,
"Graduate Certificate Level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,38,41,70,210,463,748,1094,1383,1745,2025,2135,2308,2411,2495,2577,2614,2763,2820,2714,2864,2800,2848,2594,2611,2563,2398,2439,2464,2466,2384,2479,2480,2263,2297,2071,1942,1880,1856,1862,1804,1759,1697,1580,1380,1403,1233,1041,1017,927,825,671,622,550,435,403,374,286,218,177,147,133,95,73,64,38,36,26,23,16,18,10,8,9,11,3,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97393,
"Bachelor Degree Level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,31,259,626,3172,22955,53398,79205,94324,98501,100229,99378,98748,98545,100093,100578,99718,99117,96830,97267,97897,97694,96630,93013,88206,83088,79898,75974,73866,70518,69911,68618,68178,67845,65457,58187,54983,50176,46907,45343,43789,44613,43900,42784,42030,40645,40039,39072,38229,37068,35383,33289,32163,29909,28129,26695,24745,23420,23656,18173,16457,15128,12699,12084,10225,9126,8078,7151,6047,5140,4429,3717,3233,2630,2298,1978,1555,1193,931,649,475,339,240,148,88,50,14,18,3,5,3,0,0,0,0,0,0,0,0,0,3609256,
"Advanced Diploma and Diploma Level, nfd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,31,89,166,220,300,323,405,500,506,498,540,545,548,564,614,618,725,708,730,780,800,93,89,96,89,100,99,80,85,95,89,89,94,96,85,70,85,83,59,66,79,76,73,68,54,51,51,37,41,53,51,35,45,40,41,36,27,32,39,33,31,24,33,22,21,19,21,22,25,20,16,13,16,16,8,11,7,4,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13202,
"Advanced Diploma and Associate Degree Level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,77,199,412,1341,2854,3549,4041,4273,4717,5045,5480,5913,6260,7037,7674,8338,9153,9582,10000,10096,9896,9725,10175,10006,10096,11050,12152,13358,14193,15081,15883,16454,17301,18220,17311,17361,16742,16390,16641,16708,17247,17812,17732,17917,17806,17843,17949,17646,17436,17154,16102,16045,15140,14549,13783,12798,12588,13259,10400,9673,8866,7640,7297,6234,5783,5058,4497,4054,3504,2949,2522,2228,1866,1592,1428,1078,897,599,488,372,244,161,111,60,39,20,6,6,9,0,0,0,0,0,0,0,0,0,0,771279,
