id,X,Y,LGA_NAME21
"0",523680.097,5882893.610,Alpine
"1",507455.953,5953912.143,Alpine
"2",502871.322,5972193.590,Alpine
"3",491676.821,5951074.749,Alpine
"4",506180.517,5910998.215,Alpine
"5",486733.028,5966510.008,Alpine
"6",509043.035,5888364.286,Alpine
"7",498630.411,5905372.117,Alpine
"8",477495.780,5902145.517,Alpine
"9",474667.634,5930061.123,Alpine
"10",503318.048,5967059.146,Alpine
"11",477582.334,5911798.210,Alpine
"12",479776.213,5897344.409,Alpine
"13",492122.992,5900846.201,Alpine
"14",490684.523,5932819.428,Alpine
"15",522719.182,5880765.234,Alpine
"16",517083.035,5920332.265,Alpine
"17",477448.744,5942183.959,Alpine
"18",514896.373,5885340.255,Alpine
"19",478747.398,5896870.146,Alpine
"20",524757.140,5877680.697,Alpine
"21",489416.804,5930001.997,Alpine
"22",473362.043,5957266.743,Alpine
"23",490013.600,5885529.809,Alpine
"24",472890.784,5909823.867,Alpine
"25",480063.225,5936337.050,Alpine
"26",509675.702,5933079.545,Alpine
"27",499933.307,5948442.184,Alpine
"28",493837.681,5935024.895,Alpine
"29",482647.245,5908718.733,Alpine
"30",506079.627,5886408.883,Alpine
"31",498330.835,5884431.378,Alpine
"32",527570.622,5922950.422,Alpine
"33",489585.027,5909799.271,Alpine
"34",524264.239,5931662.505,Alpine
"35",516060.517,5883847.469,Alpine
"36",503228.400,5923264.866,Alpine
"37",498874.359,5911086.083,Alpine
"38",495652.535,5924978.796,Alpine
"39",512057.271,5919238.223,Alpine
"40",510538.145,5943678.996,Alpine
"41",472531.604,5904002.745,Alpine
"42",483829.976,5892910.151,Alpine
"43",497422.232,5950458.629,Alpine
"44",470048.165,5950699.980,Alpine
"45",507417.980,5960791.607,Alpine
"46",499351.639,5893515.266,Alpine
"47",498743.366,5942843.859,Alpine
"48",522923.653,5907709.448,Alpine
"49",489654.802,5907786.107,Alpine
"50",484226.276,5892866.464,Alpine
"51",502882.697,5890902.662,Alpine
"52",498392.086,5970502.762,Alpine
"53",496619.179,5914511.328,Alpine
"54",490481.268,5943395.189,Alpine
"55",470180.788,5924485.452,Alpine
"56",518651.259,5925360.794,Alpine
"57",504004.442,5952715.106,Alpine
"58",480637.114,5896328.437,Alpine
"59",514527.251,5912785.291,Alpine
"60",506098.390,5926837.646,Alpine
"61",486474.763,5932611.578,Alpine
"62",473974.398,5930905.114,Alpine
"63",506829.531,5940362.782,Alpine
"64",494113.212,5969942.379,Alpine
"65",480279.989,5905032.238,Alpine
"66",488645.393,5959961.746,Alpine
"67",494076.577,5938935.738,Alpine
"68",512039.085,5924693.734,Alpine
"69",495132.622,5955331.900,Alpine
"70",486691.940,5952136.436,Alpine
"71",474858.079,5898161.715,Alpine
"72",479566.090,5964973.514,Alpine
"73",496492.157,5946780.395,Alpine
"74",489224.681,5913251.454,Alpine
"75",486240.887,5905842.507,Alpine
"76",495410.074,5893376.629,Alpine
"77",506788.243,5963834.409,Alpine
"78",520979.544,5879701.852,Alpine
"79",498284.804,5909363.195,Alpine
"80",479437.925,5955952.039,Alpine
"81",484535.807,5920737.341,Alpine
"82",526079.942,5896855.371,Alpine
"83",503536.391,5886955.178,Alpine
"84",483199.566,5959201.941,Alpine
"85",492976.598,5923959.663,Alpine
"86",526288.365,5881698.850,Alpine
"87",497812.493,5947836.532,Alpine
"88",489879.562,5935627.705,Alpine
"89",509351.745,5923970.862,Alpine
"90",488171.021,5921322.519,Alpine
"91",488764.459,5896836.525,Alpine
"92",515995.498,5877849.875,Alpine
"93",508182.842,5888282.879,Alpine
"94",475102.363,5961320.626,Alpine
"95",469378.914,5958622.742,Alpine
"96",473356.967,5927632.958,Alpine
"97",498487.740,5897725.527,Alpine
"98",479866.922,5901734.581,Alpine
"99",472884.673,5947116.648,Alpine
"100",118990.002,5809283.433,Ararat
"101",98617.968,5841900.181,Ararat
"102",135333.446,5866010.781,Ararat
"103",164478.085,5876218.326,Ararat
"104",149476.370,5876052.038,Ararat
"105",157529.539,5865144.631,Ararat
"106",135774.122,5852060.585,Ararat
"107",143824.747,5865580.186,Ararat
"108",118513.984,5846236.134,Ararat
"109",136947.261,5868901.052,Ararat
"110",122027.828,5859723.133,Ararat
"111",101355.516,5839422.133,Ararat
"112",130669.639,5819789.887,Ararat
"113",142660.776,5838029.196,Ararat
"114",152798.911,5854547.256,Ararat
"115",141452.694,5847606.468,Ararat
"116",164268.844,5880119.470,Ararat
"117",91737.326,5832617.326,Ararat
"118",153909.127,5866073.812,Ararat
"119",141661.921,5836026.129,Ararat
"120",163175.768,5839559.740,Ararat
"121",144500.237,5842239.490,Ararat
"122",157027.087,5840868.273,Ararat
"123",156265.831,5864356.985,Ararat
"124",119596.002,5812940.058,Ararat
"125",142452.015,5873807.627,Ararat
"126",150716.620,5860755.541,Ararat
"127",120059.455,5845099.264,Ararat
"128",138895.443,5859156.291,Ararat
"129",101208.447,5843460.031,Ararat
"130",142336.371,5860550.622,Ararat
"131",146820.688,5864832.695,Ararat
"132",166008.010,5878116.780,Ararat
"133",145095.071,5860661.121,Ararat
"134",100343.547,5834554.641,Ararat
"135",142050.504,5867340.955,Ararat
"136",110931.422,5844543.336,Ararat
"137",150247.833,5851499.316,Ararat
"138",149758.371,5847634.415,Ararat
"139",114484.997,5810378.578,Ararat
"140",144902.332,5866086.857,Ararat
"141",137254.045,5872126.541,Ararat
"142",137182.212,5874676.347,Ararat
"143",111382.609,5830475.492,Ararat
"144",162092.515,5860205.041,Ararat
"145",109273.352,5833159.037,Ararat
"146",113215.266,5816583.074,Ararat
"147",120271.075,5870129.699,Ararat
"148",128075.833,5812885.761,Ararat
"149",119507.145,5811820.077,Ararat
"150",123498.635,5866485.757,Ararat
"151",105425.133,5835610.467,Ararat
"152",123706.312,5817035.199,Ararat
"153",117631.200,5849096.620,Ararat
"154",117602.138,5859122.752,Ararat
"155",132295.036,5816917.398,Ararat
"156",102582.793,5840800.248,Ararat
"157",140096.648,5861827.515,Ararat
"158",137226.501,5836023.778,Ararat
"159",131065.735,5860650.649,Ararat
"160",144791.028,5869100.263,Ararat
"161",129423.592,5816404.047,Ararat
"162",154701.891,5863363.617,Ararat
"163",125986.574,5875774.556,Ararat
"164",136364.993,5852652.788,Ararat
"165",108220.687,5838201.488,Ararat
"166",118514.174,5868044.825,Ararat
"167",103080.301,5855031.228,Ararat
"168",111034.027,5840667.266,Ararat
"169",145825.330,5812055.363,Ararat
"170",117241.416,5825583.600,Ararat
"171",124909.065,5836293.867,Ararat
"172",156877.915,5854734.307,Ararat
"173",155065.093,5817600.128,Ararat
"174",122725.967,5832272.372,Ararat
"175",134803.733,5810995.298,Ararat
"176",107247.339,5876215.236,Ararat
"177",125422.453,5854863.961,Ararat
"178",121279.929,5824588.481,Ararat
"179",115680.928,5829916.465,Ararat
"180",115696.571,5850356.536,Ararat
"181",129721.527,5835851.456,Ararat
"182",161235.350,5844601.282,Ararat
"183",135718.345,5849903.160,Ararat
"184",122397.705,5861919.810,Ararat
"185",125669.486,5849923.750,Ararat
"186",118620.744,5868643.164,Ararat
"187",150885.347,5826505.875,Ararat
"188",120210.565,5804924.965,Ararat
"189",124689.845,5861233.776,Ararat
"190",142260.009,5867593.247,Ararat
"191",113958.246,5811839.353,Ararat
"192",167304.701,5872679.203,Ararat
"193",139793.807,5823046.830,Ararat
"194",100371.370,5833017.752,Ararat
"195",104336.729,5852838.470,Ararat
"196",129217.197,5827501.471,Ararat
"197",148521.590,5851382.427,Ararat
"198",134940.936,5834150.617,Ararat
"199",101453.064,5854574.827,Ararat
"200",210616.652,5852524.152,Ballarat
"201",218597.006,5847160.873,Ballarat
"202",225994.890,5841274.964,Ballarat
"203",216927.020,5839637.939,Ballarat
"204",207293.066,5859220.873,Ballarat
"205",211112.087,5838191.116,Ballarat
"206",208696.318,5838903.514,Ballarat
"207",203420.792,5853722.968,Ballarat
"208",207089.163,5844225.228,Ballarat
"209",226797.810,5822233.008,Ballarat
"210",217017.784,5843303.101,Ballarat
"211",206020.777,5841533.048,Ballarat
"212",207600.857,5855590.827,Ballarat
"213",206011.124,5862410.140,Ballarat
"214",210323.339,5847454.173,Ballarat
"215",202187.115,5846353.003,Ballarat
"216",214127.663,5860121.462,Ballarat
"217",217413.646,5862193.827,Ballarat
"218",207892.161,5845207.938,Ballarat
"219",213457.793,5856936.535,Ballarat
"220",209935.416,5855776.558,Ballarat
"221",207263.098,5839625.649,Ballarat
