AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
15-19 years,Male,Alpine,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,15
15-19 years,Male,Alpine,Tertiary - University or other higher education,Not applicable,10
15-19 years,Male,Ararat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,12
15-19 years,Male,Ararat,Tertiary - University or other higher education,Not applicable,3
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,6
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,224
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Information Technology,8
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Society and Culture,3
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Creative Arts,6
15-19 years,Male,Ballarat,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Field of study not stated,3
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Not applicable,219
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,186
15-19 years,Male,Banyule,Tertiary - University or other higher education,Engineering and Related Technologies,3
15-19 years,Male,Banyule,Tertiary - University or other higher education,Architecture and Building,4
15-19 years,Male,Banyule,Tertiary - University or other higher education,Health,4
15-19 years,Male,Banyule,Tertiary - University or other higher education,Management and Commerce,3
15-19 years,Male,Banyule,Tertiary - University or other higher education,Society and Culture,3
15-19 years,Male,Banyule,Tertiary - University or other higher education,Creative Arts,5
15-19 years,Male,Banyule,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5
15-19 years,Male,Banyule,Tertiary - University or other higher education,Not applicable,457
15-19 years,Male,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
15-19 years,Male,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4
15-19 years,Male,Bass Coast,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,51
15-19 years,Male,Bass Coast,Tertiary - University or other higher education,Not applicable,27
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,7
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5
15-19 years,Male,Baw Baw,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,133
15-19 years,Male,Baw Baw,Tertiary - University or other higher education,Not applicable,54
15-19 years,Male,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4
15-19 years,Male,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
15-19 years,Male,Bayside (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,124
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Information Technology,4
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Health,5
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Management and Commerce,4
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Society and Culture,6
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Creative Arts,3
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Field of study not stated,3
15-19 years,Male,Bayside (Vic.),Tertiary - University or other higher education,Not applicable,622
15-19 years,Male,Benalla,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,18
15-19 years,Male,Benalla,Tertiary - University or other higher education,Not applicable,6
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
15-19 years,Male,Boroondara,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,116
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Natural and Physical Sciences,3
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Engineering and Related Technologies,3
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Management and Commerce,3
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Society and Culture,3
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Creative Arts,11
15-19 years,Male,Boroondara,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Mixed Field Programmes,4
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Field of study not stated,3
15-19 years,Male,Boroondara,Tertiary - University or other higher education,Not applicable,1283
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,9
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,11
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,6
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
15-19 years,Male,Brimbank,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,285
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Architecture and Building,3
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Management and Commerce,3
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Society and Culture,4
15-19 years,Male,Brimbank,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",3
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Mixed Field Programmes,5
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Field of study not stated,5
15-19 years,Male,Brimbank,Tertiary - University or other higher education,Not applicable,672
15-19 years,Male,Buloke,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3
15-19 years,Male,Buloke,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",6
15-19 years,Male,Buloke,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,11
15-19 years,Male,Buloke,Tertiary - University or other higher education,Not applicable,4
15-19 years,Male,Campaspe,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,6
