AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
15-19 years,Male,Alpine,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,15,495132.622,5909823.867
15-19 years,Male,Alpine,Tertiary - University or other higher education,Not applicable,10,480637.114,5931662.505
15-19 years,Male,Ararat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,12,118514.174,5811820.077
15-19 years,Male,Ararat,Tertiary - University or other higher education,Not applicable,3,164268.844,5863363.617
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,205500.804,5851164.851
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,11,203004.852,5844991.452
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,6,203004.852,5847782.65
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5,212973.786,5849267.08
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3,217242.133,5824386.063
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7,207126.932,5850562.467
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,214430.221,5841533.048
15-19 years,Male,Ballarat,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,224,218608.213,5829086.515
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Information Technology,8,209286.081,5862410.14
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Society and Culture,3,223654.456,5862193.827
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Creative Arts,6,228197.207,5837110.03
15-19 years,Male,Ballarat,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6,210328.255,5850652.289
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Field of study not stated,3,212128.029,5845207.938
15-19 years,Male,Ballarat,Tertiary - University or other higher education,Not applicable,219,214430.221,5859644.713
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,10,329647.512,5818851.955
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,331389.429,5819489.925
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",3,326930.158,5822196.256
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,330414.254,5821163.005
15-19 years,Male,Banyule,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,186,329560.366,5820697.81
15-19 years,Male,Banyule,Tertiary - University or other higher education,Engineering and Related Technologies,3,327560.552,5825113.72
15-19 years,Male,Banyule,Tertiary - University or other higher education,Architecture and Building,4,336165.273,5826471.572
15-19 years,Male,Banyule,Tertiary - University or other higher education,Health,4,332316.505,5821275.982
15-19 years,Male,Banyule,Tertiary - University or other higher education,Management and Commerce,3,328527.834,5821164.391
15-19 years,Male,Banyule,Tertiary - University or other higher education,Society and Culture,3,331571.678,5822589.673
15-19 years,Male,Banyule,Tertiary - University or other higher education,Creative Arts,5,329948.361,5817591.12
