LGA,Field_Of_Study,Count,X,Y
Alpine,"Agriculture, Environmental and Related Studies",15,523680.097,5882893.61
Alpine,Architecture and Building,23,523680.097,5882893.61
Alpine,Creative Arts,36,523680.097,5882893.61
Alpine,Education,53,523680.097,5882893.61
Alpine,Engineering and Related Technologies,59,523680.097,5882893.61
Alpine,Field of study inadequately described,3,523680.097,5882893.61
Alpine,Field of study not stated,3,523680.097,5882893.61
Alpine,"Food, Hospitality and Personal Services",72,523680.097,5882893.61
Alpine,Health,156,523680.097,5882893.61
Alpine,Management and Commerce,102,523680.097,5882893.61
Alpine,Mixed Field Programmes,4,523680.097,5882893.61
Alpine,Natural and Physical Sciences,6,523680.097,5882893.61
Alpine,Not applicable,398,523680.097,5882893.61
Alpine,Society and Culture,107,523680.097,5882893.61
Ararat,"Agriculture, Environmental and Related Studies",19,118990.002,5809283.433
Ararat,Architecture and Building,10,118990.002,5809283.433
Ararat,Creative Arts,3,118990.002,5809283.433
Ararat,Education,8,118990.002,5809283.433
Ararat,Engineering and Related Technologies,22,118990.002,5809283.433
Ararat,Field of study inadequately described,3,118990.002,5809283.433
Ararat,"Food, Hospitality and Personal Services",19,118990.002,5809283.433
Ararat,Health,54,118990.002,5809283.433
Ararat,Information Technology,8,118990.002,5809283.433
Ararat,Management and Commerce,52,118990.002,5809283.433
Ararat,Natural and Physical Sciences,14,118990.002,5809283.433
Ararat,Not applicable,252,118990.002,5809283.433
Ararat,Society and Culture,77,118990.002,5809283.433
Ballarat,"Agriculture, Environmental and Related Studies",183,210616.652,5852524.152
Ballarat,Architecture and Building,291,210616.652,5852524.152
Ballarat,Creative Arts,562,210616.652,5852524.152
Ballarat,Education,774,210616.652,5852524.152
Ballarat,Engineering and Related Technologies,639,210616.652,5852524.152
Ballarat,Field of study inadequately described,160,210616.652,5852524.152
Ballarat,Field of study not stated,148,210616.652,5852524.152
Ballarat,"Food, Hospitality and Personal Services",426,210616.652,5852524.152
Ballarat,Health,1517,210616.652,5852524.152
Ballarat,Information Technology,293,210616.652,5852524.152
Ballarat,Management and Commerce,1263,210616.652,5852524.152
Ballarat,Mixed Field Programmes,9,210616.652,5852524.152
Ballarat,Natural and Physical Sciences,418,210616.652,5852524.152
Ballarat,Not applicable,6229,210616.652,5852524.152
Ballarat,Society and Culture,1674,210616.652,5852524.152
Banyule,"Agriculture, Environmental and Related Studies",127,331389.429,5819881.1
Banyule,Architecture and Building,361,331389.429,5819881.1
Banyule,Creative Arts,805,331389.429,5819881.1
Banyule,Education,682,331389.429,5819881.1
Banyule,Engineering and Related Technologies,737,331389.429,5819881.1
Banyule,Field of study inadequately described,214,331389.429,5819881.1
Banyule,Field of study not stated,131,331389.429,5819881.1
Banyule,"Food, Hospitality and Personal Services",438,331389.429,5819881.1
Banyule,Health,1746,331389.429,5819881.1
Banyule,Information Technology,401,331389.429,5819881.1
Banyule,Management and Commerce,1655,331389.429,5819881.1
Banyule,Mixed Field Programmes,22,331389.429,5819881.1
Banyule,Natural and Physical Sciences,889,331389.429,5819881.1
Banyule,Not applicable,8305,331389.429,5819881.1
Banyule,Society and Culture,1877,331389.429,5819881.1
Bass Coast,"Agriculture, Environmental and Related Studies",42,374923.89,5747608.843
Bass Coast,Architecture and Building,63,374923.89,5747608.843
Bass Coast,Creative Arts,73,374923.89,5747608.843
Bass Coast,Education,171,374923.89,5747608.843
Bass Coast,Engineering and Related Technologies,96,374923.89,5747608.843
Bass Coast,Field of study inadequately described,18,374923.89,5747608.843
Bass Coast,Field of study not stated,47,374923.89,5747608.843
Bass Coast,"Food, Hospitality and Personal Services",123,374923.89,5747608.843
Bass Coast,Health,253,374923.89,5747608.843
Bass Coast,Information Technology,18,374923.89,5747608.843
Bass Coast,Management and Commerce,255,374923.89,5747608.843
Bass Coast,Natural and Physical Sciences,69,374923.89,5747608.843
Bass Coast,Not applicable,1089,374923.89,5747608.843
Bass Coast,Society and Culture,367,374923.89,5747608.843
Baw Baw,"Agriculture, Environmental and Related Studies",101,419233.375,5788453.01
Baw Baw,Architecture and Building,113,419233.375,5788453.01
Baw Baw,Creative Arts,168,419233.375,5788453.01
Baw Baw,Education,369,419233.375,5788453.01
Baw Baw,Engineering and Related Technologies,202,419233.375,5788453.01
Baw Baw,Field of study inadequately described,46,419233.375,5788453.01
Baw Baw,Field of study not stated,31,419233.375,5788453.01
Baw Baw,"Food, Hospitality and Personal Services",177,419233.375,5788453.01
Baw Baw,Health,511,419233.375,5788453.01
Baw Baw,Information Technology,44,419233.375,5788453.01
Baw Baw,Management and Commerce,498,419233.375,5788453.01
Baw Baw,Mixed Field Programmes,4,419233.375,5788453.01
Baw Baw,Natural and Physical Sciences,102,419233.375,5788453.01
Baw Baw,Not applicable,2315,419233.375,5788453.01
Baw Baw,Society and Culture,650,419233.375,5788453.01
Bayside (Vic.),"Agriculture, Environmental and Related Studies",89,324085.58,5804633.619
Bayside (Vic.),Architecture and Building,215,324085.58,5804633.619
Bayside (Vic.),Creative Arts,526,324085.58,5804633.619
Bayside (Vic.),Education,382,324085.58,5804633.619
Bayside (Vic.),Engineering and Related Technologies,352,324085.58,5804633.619
Bayside (Vic.),Field of study inadequately described,188,324085.58,5804633.619
Bayside (Vic.),Field of study not stated,86,324085.58,5804633.619
Bayside (Vic.),"Food, Hospitality and Personal Services",208,324085.58,5804633.619
Bayside (Vic.),Health,763,324085.58,5804633.619
Bayside (Vic.),Information Technology,171,324085.58,5804633.619
Bayside (Vic.),Management and Commerce,1310,324085.58,5804633.619
Bayside (Vic.),Mixed Field Programmes,27,324085.58,5804633.619
